
Instance                               Avg. reward  Seed    Time (s)
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            1  376339    360.18
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            2  378760   360.919
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            3  349005   360.826
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            4  389205   360.298
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            5  360062   360.445
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            6  354715   360.307
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            7  377267    360.83
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            0  405955     420.8
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            1  449183   420.357
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            2  455809   420.789
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            3  442531   420.922
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            4  414666   420.647
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            5  443597   420.484
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            6  409900   420.821
ORTEC-VRPTW-ASYM-c15b0201-d1-n320-k20            7  454039   420.669
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            0  241652   360.471
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            1  246598   360.537
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            2  227244   360.775
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            3  221568   360.369
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            4  224325   360.512
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            5  237278    360.74
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            6  224459   360.849
ORTEC-VRPTW-ASYM-c67b3a3f-d1-n342-k21            7  230424   360.813
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            0  325739   360.312
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            1  305027   360.568
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            2  288144   360.666
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            3  344516   360.705
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            4  330365   360.746
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            5  313645   360.709
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            6  328894   360.528
ORTEC-VRPTW-ASYM-c7657e35-d1-n275-k21            7  314940   360.478
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            0  415540   480.949
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            1  425492   420.627
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            2  411753   420.626
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            3  431838   420.739
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            4  399241   480.977
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            5  443098   480.512
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            6  376528   480.745
ORTEC-VRPTW-ASYM-c82ca041-d1-n393-k23            7  394562   421.014
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            0  305624   360.772
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            1  290129   360.786
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            2  300030   360.989
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            3  287910   360.307
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            4  301238    360.81
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            5  295081   360.768
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            6  290136   360.706
ORTEC-VRPTW-ASYM-c853ff0d-d1-n236-k15            7  299415    360.56
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            0  532286   360.437
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            1  497750     360.4
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            2  527473   360.391
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            3  492206   360.287
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            4  521129   360.586
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            5  508437   360.252
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            6  532196   360.213
ORTEC-VRPTW-ASYM-ca1ed34e-d1-n226-k21            7  495243   360.456
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            0  368763    360.86
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            1  371539    360.89
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            2  409487   360.844
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            3  387920   360.824
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            4  409582   360.442
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            5  388531   360.708
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            6  400897    360.68
ORTEC-VRPTW-ASYM-ca5d17ad-d1-n246-k15            7  362208   361.026
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            0  425785   360.476
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            1  434216   360.627
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            2  412040   360.273
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            3  442501   360.791
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            4  430667   360.482
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            5  418862   360.558
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            6  407276   360.201
ORTEC-VRPTW-ASYM-cc815064-d1-n470-k26            7  434508   360.341
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            0  372983   421.189
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            1  358355   420.979
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            2  337605    420.83
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            3  368442   420.603
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            4  373095   420.574
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            5  378135   420.819
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            6  379906   420.991
ORTEC-VRPTW-ASYM-cc98aff5-d1-n261-k20            7  385246   420.526
ORTEC-VRPTW-ASYM-ccc004aa-d1-n224-k12            0  501291   360.574
ORTEC-VRPTW-ASYM-ccc004aa-d1-n224-k12            1  410973   360.301
ORTEC-VRPTW-ASYM-ccc004aa-d1-n224-k12            2  479661   360.364
ORTEC-VRPTW-ASYM-ccc004aa-d1-n224-k12            3  419025   360.328
