benchmark_dynamic.py --num_seeds 8 --solver_seed 1 --num_procs 16 --strategy oracle --instance_pattern instances/ORTEC-VRPTW-ASYM-*.txt --epoch_tlim 600 --phase None --aggregate False

Instance                               Avg. reward  Seed    Time (s)
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            4  341442   600.059
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            5  320907   600.058
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            6  340643   600.072
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            7  325143    600.06
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            0  274071   600.054
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            1  274604   600.048
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            2  295447   600.054
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            3  271137   600.043
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            4  300652   600.046
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            5  275562   600.045
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            6  283319   600.046
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            7  279002   600.045
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            0  206776   600.077
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            1  214792   600.065
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            2  219143   600.076
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            3  215089   600.062
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            4  213433   600.061
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            5  210628   600.067
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            6  208175   600.058
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            7  223077   600.064
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            0  358494   600.103
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            1  323265   600.086
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            2  338875   600.093
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            3  335751   600.102
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            4  329419   600.086
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            5  316337   600.084
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            6  328018   600.093
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            7  341503   600.083
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            0  372612   600.088
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            1  370777   600.083
